Admission No,Student Name,DOB,Class,Section,Father Name,Father Mobile,Mother Mobile,Address,Pincode,Aadhaar No,APAAR ID,Category,Blood Group,Medical Notes,Photo Path,Bank A/c No,IFSC,Transport Pickup Point,Status,Date of Admission,Total Fee,Marks Obtained
ADM2001,Student 1,11/03/2016,11,A,Parent 1,9177777868,9981836553,"House 1, Some Road",221078,499836243985,APAAR000001,General,B+,,/photos/1.jpg,1161042648,SBIN0001234,Stop 14,Active,01/04/2016,24578,60
ADM2002,Student 2,03/09/2016,1,C,Parent 2,9232931336,9339701014,"House 2, Some Road",221090,742644932277,APAAR000002,General,AB-,,/photos/2.jpg,,,Stop 2,Active,01/04/2013,23052,47
ADM2003,Student 3,10/07/2012,9,A,Parent 3,9713013910,9431229838,"House 3, Some Road",221081,,APAAR000003,OBC,A+,,/photos/3.jpg,3744112455,SBIN0001234,Stop 12,Active,01/04/2011,55896,38
ADM2004,Student 4,19/01/2013,8,C,Parent 4,9670930264,9559123743,"House 4, Some Road",221050,741949871888,APAAR000004,ST,O+,,/photos/4.jpg,,,Stop 10,Left,01/04/2013,31781,61
ADM2005,Student 5,03/05/2018,8,B,Parent 5,9883235912,9581932046,"House 5, Some Road",221046,229163414222,,ST,B+,,/photos/5.jpg,8546862847,SBIN0001234,Stop 5,Active,01/04/2024,52044,83
ADM2006,Student 6,02/02/2018,10,B,Parent 6,9465203600,9846567715,"House 6, Some Road",221054,,APAAR000006,ST,AB-,,/photos/6.jpg,,,Stop 3,Active,01/04/2023,26133,64
ADM2007,Student 7,16/02/2010,12,C,Parent 7,9432438386,9794849312,"House 7, Some Road",221083,851589624075,APAAR000007,ST,O+,Mild asthma,/photos/7.jpg,8372860242,SBIN0001234,Stop 12,Active,01/04/2010,50257,75
ADM2008,Student 8,06/02/2017,1,A,Parent 8,9924883888,9408627686,"House 8, Some Road",221026,373754186214,APAAR000008,ST,AB-,,/photos/8.jpg,,,Stop 16,Left,01/04/2011,30902,87
ADM2009,Student 9,13/09/2014,3,B,Parent 9,9690793751,9398952339,"House 9, Some Road",221063,,APAAR000009,SC,AB-,,/photos/9.jpg,5113424221,SBIN0001234,Stop 5,Active,01/04/2011,31548,49
ADM2010,Student 10,08/04/2010,8,C,Parent 10,9295789171,9382122033,"House 10, Some Road",221046,258931371865,,ST,O+,,/photos/10.jpg,,,Stop 20,Active,01/04/2019,40880,46
ADM2011,Student 11,23/09/2010,8,C,Parent 11,9956709736,9700513458,"House 11, Some Road",221060,539796360227,APAAR000011,ST,A+,,/photos/11.jpg,2719888006,SBIN0001234,Stop 7,Active,01/04/2011,33681,86
ADM2012,Student 12,06/02/2015,10,A,Parent 12,9209929256,9100250482,"House 12, Some Road",221082,,APAAR000012,OBC,A+,,/photos/12.jpg,,,Stop 12,Left,01/04/2019,21671,39
ADM2013,Student 13,28/04/2016,3,C,Parent 13,9370859703,9473006684,"House 13, Some Road",221087,621255112872,APAAR000013,General,A+,,/photos/13.jpg,8941123622,SBIN0001234,Stop 15,Active,01/04/2017,51708,69
ADM2014,Student 14,03/03/2011,12,B,Parent 14,9894946073,9384280550,"House 14, Some Road",221071,863769118139,APAAR000014,OBC,A+,Mild asthma,/photos/14.jpg,,,Stop 7,Active,01/04/2018,43707,48
ADM2015,Student 15,23/09/2010,9,B,Parent 15,9790326952,9197721832,"House 15, Some Road",221099,,,SC,O+,,/photos/15.jpg,4900940756,SBIN0001234,Stop 12,Active,01/04/2022,34600,98
ADM2016,Student 16,18/09/2015,11,A,Parent 16,9758448788,9971353560,"House 16, Some Road",221034,365455086226,APAAR000016,ST,B+,,/photos/16.jpg,,,Stop 7,Left,01/04/2018,52294,75
ADM2017,Student 17,24/01/2010,5,B,Parent 17,9378286356,9307924673,"House 17, Some Road",221098,591104947063,APAAR000017,SC,O+,,/photos/17.jpg,1345908635,SBIN0001234,Stop 4,Active,01/04/2013,50807,55
ADM2018,Student 18,11/04/2017,10,C,Parent 18,9102049037,9614830670,"House 18, Some Road",221093,,APAAR000018,SC,A+,,/photos/18.jpg,,,Stop 4,Active,01/04/2024,45463,55
ADM2019,Student 19,16/03/2016,11,B,Parent 19,9193146944,9959877752,"House 19, Some Road",221060,540075923567,APAAR000019,General,B+,,/photos/19.jpg,1545625652,SBIN0001234,Stop 5,Active,01/04/2019,50497,48
ADM2020,Student 20,20/08/2015,3,C,Parent 20,9688717143,9240642847,"House 20, Some Road",221012,976234501313,,General,B+,,/photos/20.jpg,,,Stop 14,Left,01/04/2023,32766,57
ADM2021,Student 21,01/05/2013,5,C,Parent 21,9358277203,9919994920,"House 21, Some Road",221085,,APAAR000021,SC,O+,Mild asthma,/photos/21.jpg,7632944622,SBIN0001234,Stop 5,Active,01/04/2010,43185,88
ADM2022,Student 22,22/09/2016,9,A,Parent 22,9671042709,9263033078,"House 22, Some Road",221077,119372651929,APAAR000022,ST,B+,,/photos/22.jpg,,,Stop 20,Active,01/04/2010,29817,52
ADM2023,Student 23,05/08/2011,9,A,Parent 23,9450020665,9832647724,"House 23, Some Road",221076,712164808375,APAAR000023,ST,A+,,/photos/23.jpg,1244051092,SBIN0001234,Stop 7,Active,01/04/2014,22765,42
ADM2024,Student 24,17/08/2018,1,A,Parent 24,9575934338,9449624976,"House 24, Some Road",221088,,APAAR000024,OBC,O+,,/photos/24.jpg,,,Stop 15,Left,01/04/2018,54949,91
ADM2025,Student 25,17/04/2018,5,C,Parent 25,9317527775,9580529775,"House 25, Some Road",221027,234933428704,,ST,AB-,,/photos/25.jpg,2357122900,SBIN0001234,Stop 8,Active,01/04/2016,24792,57
ADM2026,Student 26,22/05/2011,3,C,Parent 26,9790907761,9808945035,"House 26, Some Road",221056,375491997060,APAAR000026,OBC,AB-,,/photos/26.jpg,,,Stop 8,Active,01/04/2021,26168,80
ADM2027,Student 27,16/03/2013,3,C,Parent 27,9563343017,9653626718,"House 27, Some Road",221061,,APAAR000027,SC,AB-,,/photos/27.jpg,6135684246,SBIN0001234,Stop 11,Active,01/04/2011,43983,32
ADM2028,Student 28,11/09/2017,8,C,Parent 28,9119415377,9512686830,"House 28, Some Road",221052,785122161548,APAAR000028,SC,A+,Mild asthma,/photos/28.jpg,,,Stop 4,Left,01/04/2024,34978,43
ADM2029,Student 29,03/05/2014,1,A,Parent 29,9390389284,9911508888,"House 29, Some Road",221026,567377384531,APAAR000029,SC,AB-,,/photos/29.jpg,7745653836,SBIN0001234,Stop 11,Active,01/04/2011,38288,37
ADM2030,Student 30,26/03/2016,2,B,Parent 30,9118072925,9781224235,"House 30, Some Road",221021,,,SC,A+,,/photos/30.jpg,,,Stop 20,Active,01/04/2023,34575,38
ADM2031,Student 31,09/02/2017,1,B,Parent 31,9693848076,9548566738,"House 31, Some Road",221044,244404116780,APAAR000031,General,B+,,/photos/31.jpg,5029220145,SBIN0001234,Stop 6,Active,01/04/2014,23301,53
ADM2032,Student 32,07/05/2014,9,A,Parent 32,9411343078,9578552639,"House 32, Some Road",221074,296160421523,APAAR000032,SC,O+,,/photos/32.jpg,,,Stop 1,Left,01/04/2014,22421,31
ADM2033,Student 33,01/09/2018,4,C,Parent 33,9609770356,9363796374,"House 33, Some Road",221067,,APAAR000033,General,AB-,,/photos/33.jpg,8114653857,SBIN0001234,Stop 18,Active,01/04/2023,45761,94
ADM2034,Student 34,10/04/2013,6,A,Parent 34,9993660865,9858840621,"House 34, Some Road",221091,542981719214,APAAR000034,SC,A+,,/photos/34.jpg,,,Stop 5,Active,01/04/2010,24634,62
ADM2035,Student 35,14/03/2010,2,C,Parent 35,9508968703,9643252063,"House 35, Some Road",221095,413407757840,,OBC,O+,Mild asthma,/photos/35.jpg,5489260858,SBIN0001234,Stop 6,Active,01/04/2012,37631,87
ADM2036,Student 36,01/05/2015,6,C,Parent 36,9447391878,9362472429,"House 36, Some Road",221014,,APAAR000036,SC,B+,,/photos/36.jpg,,,Stop 12,Left,01/04/2012,20070,72
ADM2037,Student 37,13/02/2017,5,C,Parent 37,9804393831,9315800691,"House 37, Some Road",221041,952571347660,APAAR000037,General,A+,,/photos/37.jpg,1385487905,SBIN0001234,Stop 13,Active,01/04/2019,22730,80
ADM2038,Student 38,01/05/2014,11,A,Parent 38,9190712619,9728765263,"House 38, Some Road",221077,928298390926,APAAR000038,OBC,AB-,,/photos/38.jpg,,,Stop 11,Active,01/04/2021,52387,49
ADM2039,Student 39,10/03/2010,12,C,Parent 39,9773592740,9560897991,"House 39, Some Road",221099,,APAAR000039,OBC,A+,,/photos/39.jpg,1987587879,SBIN0001234,Stop 1,Active,01/04/2010,28722,76
ADM2040,Student 40,04/07/2017,9,A,Parent 40,9774059801,9120230018,"House 40, Some Road",221090,849606843393,,OBC,AB-,,/photos/40.jpg,,,Stop 9,Left,01/04/2010,49946,38
ADM2041,Student 41,24/09/2018,2,C,Parent 41,9664777624,9170921024,"House 41, Some Road",221070,990141393222,APAAR000041,General,O+,,/photos/41.jpg,4248891100,SBIN0001234,Stop 8,Active,01/04/2021,50168,93
ADM2042,Student 42,28/07/2011,8,C,Parent 42,9408506602,9923527883,"House 42, Some Road",221015,,APAAR000042,OBC,A+,Mild asthma,/photos/42.jpg,,,Stop 20,Active,01/04/2012,41743,62
ADM2043,Student 43,21/05/2012,1,B,Parent 43,9165134264,9621621687,"House 43, Some Road",221044,842911269292,APAAR000043,General,B+,,/photos/43.jpg,8197109598,SBIN0001234,Stop 10,Active,01/04/2021,53851,66
ADM2044,Student 44,15/08/2017,2,C,Parent 44,9313943091,9434658118,"House 44, Some Road",221020,623712224590,APAAR000044,General,O+,,/photos/44.jpg,,,Stop 15,Left,01/04/2011,53201,87
ADM2045,Student 45,09/07/2013,4,A,Parent 45,9724351203,9196962211,"House 45, Some Road",221028,,,SC,O+,,/photos/45.jpg,7480007661,SBIN0001234,Stop 4,Active,01/04/2021,43932,59
ADM2046,Student 46,16/08/2016,1,A,Parent 46,9103855236,9627954674,"House 46, Some Road",221097,544317632236,APAAR000046,SC,B+,,/photos/46.jpg,,,Stop 14,Active,01/04/2015,44648,70
ADM2047,Student 47,04/06/2010,6,B,Parent 47,9527627946,9228893413,"House 47, Some Road",221035,115947314785,APAAR000047,SC,O+,,/photos/47.jpg,2598681340,SBIN0001234,Stop 13,Active,01/04/2016,58612,39
ADM2048,Student 48,12/07/2014,1,B,Parent 48,9209210128,9155423883,"House 48, Some Road",221094,,APAAR000048,SC,B+,,/photos/48.jpg,,,Stop 8,Left,01/04/2014,48589,95
ADM2049,Student 49,11/04/2015,7,A,Parent 49,9971837845,9917821224,"House 49, Some Road",221090,703675490364,APAAR000049,OBC,A+,Mild asthma,/photos/49.jpg,8440397198,SBIN0001234,Stop 15,Active,01/04/2019,29081,66
ADM2050,Student 50,16/01/2018,3,A,Parent 50,9607003804,9545459676,"House 50, Some Road",221053,427627604529,,SC,O+,,/photos/50.jpg,,,Stop 13,Active,01/04/2020,35641,68
ADM2051,Student 51,16/09/2016,2,A,Parent 51,9790636148,9273577842,"House 51, Some Road",221019,,APAAR000051,OBC,AB-,,/photos/51.jpg,3363892207,SBIN0001234,Stop 15,Active,01/04/2024,41812,87
ADM2052,Student 52,14/03/2018,4,A,Parent 52,9197403960,9287577427,"House 52, Some Road",221053,201171708835,APAAR000052,SC,B+,,/photos/52.jpg,,,Stop 12,Left,01/04/2014,57330,55
ADM2053,Student 53,01/07/2016,7,C,Parent 53,9662821260,9325491082,"House 53, Some Road",221058,470527858765,APAAR000053,General,AB-,,/photos/53.jpg,9451143862,SBIN0001234,Stop 5,Active,01/04/2020,52990,97
ADM2054,Student 54,21/04/2011,5,A,Parent 54,9512918974,9529235953,"House 54, Some Road",221092,,APAAR000054,ST,AB-,,/photos/54.jpg,,,Stop 10,Active,01/04/2023,21429,46
ADM2055,Student 55,02/07/2017,10,B,Parent 55,9100191870,9178531200,"House 55, Some Road",221060,372511167022,,General,B+,,/photos/55.jpg,1663050136,SBIN0001234,Stop 17,Active,01/04/2020,27136,88
ADM2056,Student 56,03/09/2010,1,A,Parent 56,9349727470,9711369571,"House 56, Some Road",221014,888751441353,APAAR000056,SC,B+,Mild asthma,/photos/56.jpg,,,Stop 9,Left,01/04/2018,48667,44
ADM2057,Student 57,04/02/2014,9,C,Parent 57,9305838202,9516699823,"House 57, Some Road",221043,,APAAR000057,OBC,A+,,/photos/57.jpg,9634866987,SBIN0001234,Stop 10,Active,01/04/2017,38258,70
ADM2058,Student 58,21/04/2017,9,A,Parent 58,9687339177,9365276922,"House 58, Some Road",221013,555097372773,APAAR000058,SC,A+,,/photos/58.jpg,,,Stop 1,Active,01/04/2013,52657,83
ADM2059,Student 59,03/05/2013,11,B,Parent 59,9497518584,9343509688,"House 59, Some Road",221073,864650626009,APAAR000059,SC,AB-,,/photos/59.jpg,2702345556,SBIN0001234,Stop 1,Active,01/04/2022,39143,94
ADM2060,Student 60,03/04/2017,4,B,Parent 60,9922332802,9980473121,"House 60, Some Road",221034,,,OBC,AB-,,/photos/60.jpg,,,Stop 8,Left,01/04/2014,39328,43
ADM2061,Student 61,20/08/2012,4,B,Parent 61,9547781560,9814354267,"House 61, Some Road",221017,756909927757,APAAR000061,OBC,AB-,,/photos/61.jpg,1233467470,SBIN0001234,Stop 1,Active,01/04/2019,29300,83
ADM2062,Student 62,02/01/2012,7,B,Parent 62,9864541482,9437369643,"House 62, Some Road",221024,190183703839,APAAR000062,OBC,O+,,/photos/62.jpg,,,Stop 7,Active,01/04/2012,54393,89
ADM2063,Student 63,02/05/2016,6,B,Parent 63,9575061127,9281742557,"House 63, Some Road",221023,,APAAR000063,General,A+,Mild asthma,/photos/63.jpg,2201759460,SBIN0001234,Stop 12,Active,01/04/2016,28107,56
ADM2064,Student 64,13/06/2014,7,A,Parent 64,9152889659,9857263389,"House 64, Some Road",221070,508862486209,APAAR000064,ST,B+,,/photos/64.jpg,,,Stop 11,Left,01/04/2015,51099,33
ADM2065,Student 65,21/07/2013,11,B,Parent 65,9143647055,9503262711,"House 65, Some Road",221014,170712558963,,General,O+,,/photos/65.jpg,7896069461,SBIN0001234,Stop 12,Active,01/04/2014,41952,35
ADM2066,Student 66,09/06/2014,5,A,Parent 66,9874782108,9911375553,"House 66, Some Road",221086,,APAAR000066,General,A+,,/photos/66.jpg,,,Stop 8,Active,01/04/2011,51141,89
ADM2067,Student 67,25/07/2014,7,B,Parent 67,9242493350,9633156419,"House 67, Some Road",221033,980505684130,APAAR000067,SC,B+,,/photos/67.jpg,3608137058,SBIN0001234,Stop 11,Active,01/04/2023,40941,88
ADM2068,Student 68,12/02/2018,4,B,Parent 68,9908404833,9271731462,"House 68, Some Road",221041,170470778745,APAAR000068,General,AB-,,/photos/68.jpg,,,Stop 18,Left,01/04/2018,41348,50
ADM2069,Student 69,14/02/2011,5,C,Parent 69,9190283006,9323704491,"House 69, Some Road",221022,,APAAR000069,ST,AB-,,/photos/69.jpg,9470176521,SBIN0001234,Stop 6,Active,01/04/2013,28711,83
ADM2070,Student 70,15/04/2018,11,A,Parent 70,9937250820,9415597869,"House 70, Some Road",221047,723970258506,,SC,O+,Mild asthma,/photos/70.jpg,,,Stop 9,Active,01/04/2021,37061,55
ADM2071,Student 71,15/04/2012,4,A,Parent 71,9264628456,9402101659,"House 71, Some Road",221084,457290813746,APAAR000071,General,AB-,,/photos/71.jpg,3260478873,SBIN0001234,Stop 4,Active,01/04/2020,50403,34
ADM2072,Student 72,04/01/2017,4,B,Parent 72,9501446613,9143338216,"House 72, Some Road",221047,,APAAR000072,OBC,A+,,/photos/72.jpg,,,Stop 2,Left,01/04/2013,59353,54
ADM2073,Student 73,03/06/2018,3,B,Parent 73,9747511622,9379117276,"House 73, Some Road",221095,108356726821,APAAR000073,General,O+,,/photos/73.jpg,1934779976,SBIN0001234,Stop 12,Active,01/04/2015,29264,35
ADM2074,Student 74,07/05/2010,10,C,Parent 74,9799696144,9318443959,"House 74, Some Road",221011,459999146985,APAAR000074,ST,O+,,/photos/74.jpg,,,Stop 6,Active,01/04/2019,40460,39
ADM2075,Student 75,07/01/2017,9,B,Parent 75,9167936803,9538269252,"House 75, Some Road",221022,,,ST,B+,,/photos/75.jpg,9981432030,SBIN0001234,Stop 6,Active,01/04/2016,37771,82
ADM2076,Student 76,10/05/2016,1,B,Parent 76,9900300113,9708296283,"House 76, Some Road",221055,557044993551,APAAR000076,General,O+,,/photos/76.jpg,,,Stop 7,Left,01/04/2016,46540,56
ADM2077,Student 77,01/07/2012,7,A,Parent 77,9980864063,9197160770,"House 77, Some Road",221061,604077664685,APAAR000077,OBC,B+,Mild asthma,/photos/77.jpg,1063713179,SBIN0001234,Stop 18,Active,01/04/2012,45999,41
ADM2078,Student 78,19/06/2018,3,A,Parent 78,9473603032,9404185698,"House 78, Some Road",221030,,APAAR000078,OBC,A+,,/photos/78.jpg,,,Stop 4,Active,01/04/2016,52146,55
ADM2079,Student 79,10/03/2010,8,B,Parent 79,9157310482,9752453536,"House 79, Some Road",221091,196155277650,APAAR000079,OBC,B+,,/photos/79.jpg,7962370002,SBIN0001234,Stop 20,Active,01/04/2023,32852,90
ADM2080,Student 80,06/04/2010,7,C,Parent 80,9268017943,9511861992,"House 80, Some Road",221055,263737281768,,OBC,B+,,/photos/80.jpg,,,Stop 2,Left,01/04/2024,56853,34
ADM2081,Student 81,22/06/2011,7,C,Parent 81,9589340112,9690613656,"House 81, Some Road",221090,,APAAR000081,SC,AB-,,/photos/81.jpg,6365525893,SBIN0001234,Stop 13,Active,01/04/2020,44081,87
ADM2082,Student 82,17/08/2012,1,A,Parent 82,9764530093,9625598339,"House 82, Some Road",221069,590636666781,APAAR000082,ST,B+,,/photos/82.jpg,,,Stop 16,Active,01/04/2016,27017,38
ADM2083,Student 83,05/06/2016,6,A,Parent 83,9961443743,9574558593,"House 83, Some Road",221074,823745631598,APAAR000083,General,A+,,/photos/83.jpg,3733476194,SBIN0001234,Stop 3,Active,01/04/2024,40560,95
ADM2084,Student 84,03/01/2018,7,C,Parent 84,9942074269,9246228303,"House 84, Some Road",221013,,APAAR000084,General,A+,Mild asthma,/photos/84.jpg,,,Stop 7,Left,01/04/2012,52235,66
ADM2085,Student 85,26/03/2013,2,B,Parent 85,9755459940,9911941844,"House 85, Some Road",221042,452869219287,,SC,AB-,,/photos/85.jpg,5911605612,SBIN0001234,Stop 17,Active,01/04/2024,51464,56
ADM2086,Student 86,19/05/2018,4,B,Parent 86,9499718592,9139549192,"House 86, Some Road",221035,543163729523,APAAR000086,OBC,O+,,/photos/86.jpg,,,Stop 11,Active,01/04/2024,44696,51
ADM2087,Student 87,26/05/2011,9,A,Parent 87,9783241973,9486309888,"House 87, Some Road",221067,,APAAR000087,General,O+,,/photos/87.jpg,8720936470,SBIN0001234,Stop 9,Active,01/04/2016,44179,48
ADM2088,Student 88,12/06/2011,8,A,Parent 88,9289790373,9760752422,"House 88, Some Road",221016,998921121873,APAAR000088,SC,O+,,/photos/88.jpg,,,Stop 19,Left,01/04/2024,40489,30
ADM2089,Student 89,24/01/2013,3,B,Parent 89,9761480854,9771752213,"House 89, Some Road",221065,664434667634,APAAR000089,SC,A+,,/photos/89.jpg,5862003025,SBIN0001234,Stop 8,Active,01/04/2019,22987,32
ADM2090,Student 90,02/01/2015,5,A,Parent 90,9661662279,9483488556,"House 90, Some Road",221078,,,OBC,AB-,,/photos/90.jpg,,,Stop 19,Active,01/04/2014,58606,47
ADM2091,Student 91,07/06/2017,3,A,Parent 91,9115152664,9960607053,"House 91, Some Road",221041,266247329007,APAAR000091,ST,A+,Mild asthma,/photos/91.jpg,9863389322,SBIN0001234,Stop 5,Active,01/04/2023,37679,81
ADM2092,Student 92,26/05/2010,1,C,Parent 92,9981413921,9703798500,"House 92, Some Road",221054,811223925107,APAAR000092,ST,AB-,,/photos/92.jpg,,,Stop 8,Left,01/04/2012,20026,35
ADM2093,Student 93,02/09/2010,7,A,Parent 93,9355194939,9270957548,"House 93, Some Road",221017,,APAAR000093,General,A+,,/photos/93.jpg,1847217400,SBIN0001234,Stop 14,Active,01/04/2013,53964,94
ADM2094,Student 94,21/07/2012,9,B,Parent 94,9168469496,9422408342,"House 94, Some Road",221090,898388689330,APAAR000094,ST,A+,,/photos/94.jpg,,,Stop 13,Active,01/04/2023,48616,89
ADM2095,Student 95,03/08/2012,4,A,Parent 95,9380704830,9349426669,"House 95, Some Road",221092,233310706356,,SC,O+,,/photos/95.jpg,4056660485,SBIN0001234,Stop 9,Active,01/04/2020,56293,85
ADM2096,Student 96,22/09/2014,5,C,Parent 96,9332997178,9191720218,"House 96, Some Road",221074,,APAAR000096,General,B+,,/photos/96.jpg,,,Stop 9,Left,01/04/2024,35473,55
ADM2097,Student 97,06/06/2013,7,B,Parent 97,9745566789,9356804416,"House 97, Some Road",221058,692615350117,APAAR000097,ST,AB-,,/photos/97.jpg,3996247415,SBIN0001234,Stop 1,Active,01/04/2016,35324,69
ADM2098,Student 98,26/04/2016,10,C,Parent 98,9183539632,9706883788,"House 98, Some Road",221031,134980768829,APAAR000098,General,A+,Mild asthma,/photos/98.jpg,,,Stop 4,Active,01/04/2019,30604,74
ADM2099,Student 99,05/01/2010,1,A,Parent 99,9843700661,9791000889,"House 99, Some Road",221091,,APAAR000099,General,A+,,/photos/99.jpg,4164468633,SBIN0001234,Stop 3,Active,01/04/2023,58697,76
ADM2100,Student 100,07/09/2011,12,B,Parent 100,9215014812,9364760464,"House 100, Some Road",221036,221131651750,,General,A+,,/photos/100.jpg,,,Stop 3,Left,01/04/2023,38832,91
